0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
29,Telecom Services,78933,375,0,0,79308,10725,51,0,0,10776,50,0,0,0,50,7,0,0,0,7,-3810,0,0,0,-3810,-519,0,0,0,-519,73368,375,0,0,73743,9993,51,0,0,10044
30,Telecommunications Equipment,106,0,0,0,106,14,0,0,0,14,-2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,107,15,0,0,0,15
31,"Textiles, Apparels & Accessories",30692,0,0,0,30692,4170,0,0,0,4170,66,0,0,0,66,9,0,0,0,9,-64,0,0,0,-64,-9,0,0,0,-9,31993,0,0,0,31993,4358,0,0,0,4358
32,Transportation,32838,699,750,0,34287,4462,95,102,0,4659,7,0,0,0,7,1,0,0,0,1,38,0,0,0,38,5,0,0,0,5,33616,699,750,0,35065,4579,95,102,0,4776
32 a,Airlines,6714,699,0,0,7413,912,95,0,0,1007,62,0,0,0,62,8,0,0,0,8,171,0,0,0,171,23,0,0,0,23,7628,699,0,0,8327,1039,95,0,0,1134
32 b,Logistics,1402,0,0,0,1402,190,0,0,0,190,-1,0,0,0,-1,0,0,0,0,0,8,0,0,0,8,1,0,0,0,1,1449,0,0,0,1449,197,0,0,0,197
32 c,Marine Port & Services,13141,0,0,0,13141,1786,0,0,0,1786,84,0,0,0,84,11,0,0,0,11,-25,0,0,0,-25,-3,0,0,0,-3,12996,0,0,0,12996,1770,0,0,0,1770
32 d,Roads & Highways,1481,0,750,0,2231,201,0,102,0,303,-46,0,0,0,-46,-6,0,0,0,-6,-12,0,0,0,-12,-2,0,0,0,-2,1494,0,750,0,2244,204,0,102,0,306
32 e,Shipping,911,0,0,0,911,124,0,0,0,124,-9,0,0,0,-9,-1,0,0,0,-1,-3,0,0,0,-3,0,0,0,0,0,931,0,0,0,931,127,0,0,0,127
32 f,Surface Transportation,27,0,0,0,27,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,4,0,0,0,4
32 g,Transport Related Services,6196,0,0,0,6196,842,0,0,0,842,-85,0,0,0,-85,-12,0,0,0,-12,-125,0,0,0,-125,-17,0,0,0,-17,6047,0,0,0,6047,824,0,0,0,824
32 h,Airport Services,2966,0,0,0,2966,403,0,0,0,403,2,0,0,0,2,0,0,0,0,0,25,0,0,0,25,3,0,0,0,3,3040,0,0,0,3040,414,0,0,0,414
33,Utilities3,68803,2308,0,0,71111,9349,314,0,0,9663,240,-5,0,0,235,33,-1,0,0,32,-273,-28,0,0,-301,-37,-4,0,0,-41,67723,2283,0,0,70006,9224,311,0,0,9535
34,Sovereign,0,143539,3128,0,146667,0,19504,425,0,19929,0,258,-310,0,-52,0,35,-42,0,-7,0,2380,0,0,2380,0,324,0,0,324,0,144975,3130,0,148105,0,19747,426,0,20173
35,Others4,21466,102573,58779,20476,203294,2917,13937,7987,2782,27623,13375,-3174,1635,314,12150,1817,-431,222,43,1651,1433,-781,-167,2356,2841,195,-106,-23,321,387,23005,101850,58726,22905,206486,3133,13873,7999,3120,28125
,Grand Total,2935288,284720,77322,20476,3317806,398843,38687,10506,2782,450818,20933,-4205,1602,314,18644,2844,-571,218,43,2534,-453,1237,-219,2356,2921,-62,169,-30,321,398,3010031,285301,77264,22905,3395501,409992,38860,10524,3120,462496
