0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC  as on January 15, 2013","AUC  as on January 15, 2013","AUC  as on January 15, 2013","AUC  as on January 15, 2013","AUC  as on January 15, 2013","AUC  as on January 15, 2013","Net  Investment  January 1-15, 2013","Net  Investment  January 1-15, 2013","Net  Investment  January 1-15, 2013","Net  Investment  January 1-15, 2013","Net  Investment  January 1-15, 2013","Net  Investment  January 1-15, 2013","Net  Investment  January 16-31, 2013","Net  Investment  January 16-31, 2013","Net  Investment  January 16-31, 2013","Net  Investment  January 16-31, 2013","Net  Investment  January 16-31, 2013","Net  Investment  January 16-31, 2013","AUC  as on January 31, 2013","AUC  as on January 31, 2013","AUC  as on January 31, 2013","AUC  as on January 31, 2013","AUC  as on January 31, 2013","AUC  as on January 31, 2013"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
"3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,,,,,,
"3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,,,,,,
"3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,,,,,,
4AUC of Top 10 companies under Others Category in Debt is as below,4AUC of Top 10 companies under Others Category in Debt is as below,4AUC of Top 10 companies under Others Category in Debt is as below,4AUC of Top 10 companies under Others Category in Debt is as below,4AUC of Top 10 companies under Others Category in Debt is as below,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Companies,"As on January 31,  2013 in INR Cr.",Companies,"As on January  15, 2013 in INR Cr.",,,,,,,,,,,,,,,,,,,,,
1,Exim Bank,8583,NABARD,8860,,,,,,,,,,,,,,,,,,,,,
2,NABARD,8531,Exim Bank,8188,,,,,,,,,,,,,,,,,,,,,
3,National Housing Bank,4400,National Housin,4360,,,,,,,,,,,,,,,,,,,,,
4,EMGFL Ltd,2902,EMGFL Ltd,2907,,,,,,,,,,,,,,,,,,,,,
5,J.P.MORGAN CP,2000,PLUS BKSP T,1540,,,,,,,,,,,,,,,,,,,,,
6,WIRELESS BUSINESS  SERVICES PVT LTD,1335,J.P.MORGAN,1450,,,,,,,,,,,,,,,,,,,,,
7,SISTEMA SHYAM TELESER,1280,WIRELESS BU,1335,,,,,,,,,,,,,,,,,,,,,
8,SIDBI,1170,SISTEMA SHY,1280,,,,,,,,,,,,,,,,,,,,,
9,WIRELESS BROAD BUS SER DELHI,1120,WIRELESS BR,1120,,,,,,,,,,,,,,,,,,,,,
10,Kotak Mah Prime,1028,Kotak Mah Pri,1091,,,,,,,,,,,,,,,,,,,,,
,Total,32349,Total,32132,,,,,,,,,,,,,,,,,,,,,
,Note: RBI reference rate is used for conversion from INR to USD,Note: RBI reference rate is used for conversion from INR to USD,Note: RBI reference rate is used for conversion from INR to USD,,,,,,,,,,,,,,,,,,,,,,
,"AUC as on  January 31, 2013",53.289,,,,,,,,,,,,,,,,,,,,,,,
,"Net Investment  January 16-31, 2013",53.289,,,,,,,,,,,,,,,,,,,,,,,
,"AUC as on  January 15, 2013",54.5425,,,,,,,,,,,,,,,,,,,,,,,
,"Net Investment  January 1-15, 2013",54.5425,,,,,,,,,,,,,,,,,,,,,,,
,INR to USD conversion of FII net Investment details on SEBI  website is done on the basis of daily RBI reference rate. However here RBI  reference rate of end of period is used for conversion from INR to USD.,INR to USD conversion of FII net Investment details on SEBI  website is done on the basis of daily RBI reference rate. However here RBI  reference rate of end of period is used for conversion from INR to USD.,INR to USD conversion of FII net Investment details on SEBI  website is done on the basis of daily RBI reference rate. However here RBI  reference rate of end of period is used for conversion from INR to USD.,,,,,,,,,,,,,,,,,,,,,,
"Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".",,,,,,,,,,,,,,,,,,,,
