0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
7,Consumer Services,324457,1099,670,-,0,-,-,-,-,-,-,326226,38655,131,80,-,0,-,-,-,-,-,-,38866,2196,0,0,-,0,-,-,-,-,-,-,2196,262,0,0,-,0,-,-,-,-,-,-,262,1962,0,0,-,0,-,-,-,-,-,-,1962,234,0,0,-,0,-,-,-,-,-,-,234,337305,1099,670,0,0,0,0,0,0,0,0,339074,40217,131,80,0,0,0,0,0,0,0,0,40428
8,Diversified,7150,218,0,-,0,-,-,-,-,-,-,7368,852,26,0,-,0,-,-,-,-,-,-,878,-69,0,0,-,0,-,-,-,-,-,-,-69,-8,0,0,-,0,-,-,-,-,-,-,-8,15,0,0,-,0,-,-,-,-,-,-,15,2,0,0,-,0,-,-,-,-,-,-,2,7583,218,0,0,0,0,0,0,0,0,0,7801,904,26,0,0,0,0,0,0,0,0,0,930
9,Fast Moving Consumer Goods,449963,115,285,-,0,-,-,-,-,-,-,450363,53607,14,34,-,0,-,-,-,-,-,-,53655,1785,0,0,-,0,-,-,-,-,-,-,1785,213,0,0,-,0,-,-,-,-,-,-,213,1815,0,0,-,0,-,-,-,-,-,-,1815,216,0,0,-,0,-,-,-,-,-,-,216,469262,115,285,0,0,0,0,0,0,0,0,469662,55950,14,34,0,0,0,0,0,0,0,0,55998
10,Financial Services,1963394,21739,14487,-,0,-,-,-,-,-,-,1999620,233914,2590,1726,-,0,-,-,-,-,-,-,238230,-14790,-313,174,-,0,-,-,-,-,-,-,-14929,-1762,-37,21,-,0,-,-,-,-,-,-,-1778,2782,602,381,-,0,-,-,-,-,-,-,3765,332,72,45,-,0,-,-,-,-,-,-,449,2067809,21382,14878,0,0,0,0,0,0,273,0,2104342,246547,2549,1774,0,0,0,0,0,0,33,0,250903
11,Forest Materials,3823,458,0,-,0,-,-,-,-,-,-,4281,455,55,0,-,0,-,-,-,-,-,-,510,-76,0,0,-,0,-,-,-,-,-,-,-76,-9,0,0,-,0,-,-,-,-,-,-,-9,-26,0,0,-,0,-,-,-,-,-,-,-26,-3,0,0,-,0,-,-,-,-,-,-,-3,4062,458,0,0,0,0,0,0,0,0,0,4520,484,55,0,0,0,0,0,0,0,0,0,539
12,Healthcare,442228,213,0,-,0,-,-,-,-,-,-,442441,52686,25,0,-,0,-,-,-,-,-,-,52711,3462,0,0,-,0,-,-,-,-,-,-,3462,412,0,0,-,0,-,-,-,-,-,-,412,2369,0,0,-,0,-,-,-,-,-,-,2369,282,0,0,-,0,-,-,-,-,-,-,282,469978,213,0,0,0,0,0,0,0,0,0,470191,56036,25,0,0,0,0,0,0,0,0,0,56061
13,Information Technology,671704,0,21,-,0,-,-,-,-,-,-,671725,80025,0,3,-,0,-,-,-,-,-,-,80028,-493,0,0,-,0,-,-,-,-,-,-,-493,-59,0,0,-,0,-,-,-,-,-,-,-59,4529,0,0,-,0,-,-,-,-,-,-,4529,540,0,0,-,0,-,-,-,-,-,-,540,725132,0,21,0,0,0,0,0,0,0,0,725153,86458,0,3,0,0,0,0,0,0,0,0,86461
14,"Media, Entertainment & Publication",14001,0,55,-,0,-,-,-,-,-,-,14056,1668,0,7,-,0,-,-,-,-,-,-,1675,-18,0,-35,-,0,-,-,-,-,-,-,-53,-2,0,-4,-,0,-,-,-,-,-,-,-6,-180,0,0,-,0,-,-,-,-,-,-,-180,-21,0,0,-,0,-,-,-,-,-,-,-21,14340,0,45,0,0,0,0,0,0,0,0,14385,1710,0,5,0,0,0,0,0,0,0,0,1715
15,Metals & Mining,202608,71,1250,-,0,-,-,-,-,-,-,203929,24138,8,149,-,0,-,-,-,-,-,-,24295,-2668,0,0,-,0,-,-,-,-,-,-,-2668,-318,0,0,-,0,-,-,-,-,-,-,-318,-1105,0,0,-,0,-,-,-,-,-,-,-1105,-132,0,0,-,0,-,-,-,-,-,-,-132,214893,71,1250,0,0,0,0,0,0,0,0,216214,25622,8,149,0,0,0,0,0,0,0,0,25779
16,"Oil, Gas & Consumable Fuels",613719,463,0,-,0,-,-,-,-,-,-,614182,73117,55,0,-,0,-,-,-,-,-,-,73172,-1311,0,0,-,0,-,-,-,-,-,-,-1311,-156,0,0,-,0,-,-,-,-,-,-,-156,2518,-50,0,-,0,-,-,-,-,-,-,2468,300,-6,0,-,0,-,-,-,-,-,-,294,640756,414,0,0,0,0,0,0,0,0,0,641170,76398,49,0,0,0,0,0,0,0,0,0,76447
17,Power,318605,3418,223,-,6743,-,-,-,-,-,-,328989,37958,407,27,-,803,-,-,-,-,-,-,39195,1169,0,-14,-,-22,-,-,-,-,-,-,1133,139,0,-2,-,-3,-,-,-,-,-,-,134,-2305,-1,0,-,-1321,-,-,-,-,-,-,-3627,-275,0,0,-,-158,-,-,-,-,-,-,-433,321866,3418,223,0,5306,0,0,0,0,0,0,330813,38376,407,27,0,633,0,0,0,0,0,0,39443
18,Realty,152916,883,454,-,23090,-,-,-,-,-,-,177343,18218,105,54,-,2751,-,-,-,-,-,-,21128,-889,50,-230,-,1985,-,-,-,-,-,-,916,-106,6,-27,-,237,-,-,-,-,-,-,110,-277,0,273,-,473,-,-,-,-,-,-,469,-33,0,33,-,56,-,-,-,-,-,-,56,157297,883,751,0,23694,0,0,0,0,0,0,182625,18755,105,90,0,2825,0,0,0,0,0,0,21775
19,Services,150800,2784,1110,-,3490,-,-,-,-,-,-,158184,17966,332,132,-,416,-,-,-,-,-,-,18846,-2088,-32,0,-,-6,-,-,-,-,-,-,-2126,-249,-4,0,-,-1,-,-,-,-,-,-,-254,4251,0,-101,-,-3,-,-,-,-,-,-,4147,507,0,-12,-,0,-,-,-,-,-,-,495,162985,2784,975,0,3433,0,0,0,0,0,0,170177,19433,332,116,0,409,0,0,0,0,0,0,20290
20,Telecommunication,271071,192,0,-,11233,-,-,-,-,-,-,282496,32295,23,0,-,1338,-,-,-,-,-,-,33656,662,0,0,-,0,-,-,-,-,-,-,662,79,0,0,-,0,-,-,-,-,-,-,79,1399,0,0,-,0,-,-,-,-,-,-,1399,167,0,0,-,0,-,-,-,-,-,-,167,294527,192,0,0,10644,0,0,0,0,0,0,305363,35117,23,0,0,1269,0,0,0,0,0,0,36409
21,Textiles,20844,460,0,-,0,-,-,-,-,-,-,21304,2483,55,0,-,0,-,-,-,-,-,-,2538,116,0,0,-,0,-,-,-,-,-,-,116,14,0,0,-,0,-,-,-,-,-,-,14,260,0,0,-,0,-,-,-,-,-,-,260,31,0,0,-,0,-,-,-,-,-,-,31,22242,460,0,0,0,0,0,0,0,0,0,22702,2652,55,0,0,0,0,0,0,0,0,0,2707
22,Utilities,2385,100,0,-,0,-,-,-,-,-,-,2485,284,12,0,-,0,-,-,-,-,-,-,296,105,0,0,-,0,-,-,-,-,-,-,105,12,0,0,-,0,-,-,-,-,-,-,12,-1,-6,0,-,0,-,-,-,-,-,-,-7,0,-1,0,-,0,-,-,-,-,-,-,-1,2404,94,0,0,0,0,0,0,0,0,0,2498,287,11,0,0,0,0,0,0,0,0,0,298
23,Sovereign,0,270909,1779,-,0,-,-,-,-,-,-,272688,0,32275,212,-,0,-,-,-,-,-,-,32487,0,9898,-275,-,0,-,-,-,-,-,-,9623,0,1179,-33,-,0,-,-,-,-,-,-,1146,0,8736,-1455,-,0,-,-,-,-,-,-,7281,0,1042,-174,-,0,-,-,-,-,-,-,868,0,70387,341,209212,0,0,0,0,0,0,0,279940,0,8392,41,24945,0,0,0,0,0,0,0,33378
24,Others,26603,78389,132441,-,9528,-,-,-,-,-,-,246961,3169,9339,15779,-,1135,-,-,-,-,-,-,29422,324,-1030,416,-,0,-,-,-,-,-,-,-290,39,-123,50,-,0,-,-,-,-,-,-,-34,1792,55,-9,-,0,-,-,-,-,-,-,1838,214,7,-1,-,0,-,-,-,-,-,-,220,19325,78151,132621,0,9517,6544,1533,285,0,1762,35,249773,2304,9318,15812,0,1135,780,183,34,0,210,4,29780
,Grand Total,7195926,384077,153809,-,54175,-,-,-,-,-,-,7787987,857305,45758,18324,-,6454,-,-,-,-,-,-,927841,-18824,8624,36,-,1957,-,-,-,-,-,-,-8207,-2243,1027,4,-,233,-,-,-,-,-,-,-979,26144,9337,-921,-,-859,-,-,-,-,-,-,33701,3117,1113,-110,-,-102,-,-,-,-,-,-,4018,7553576,182900,153083,209212,52677,6544,1533,285,0,2035,35,8161880,900619,21807,18252,24945,6281,780,183,34,0,243,4,973148
