0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","August 31, 2021"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"August 31, 2021"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"August 31, 2021"
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"August 31, 2021"
26,Realty,50281,121,98,0,50500,6768,16,13,0,6797,-148,0,0,0,-148,-20,0,0,0,-20,107,0,0,0,107,15,0,0,0,15,49798,121,98,0,50017,6807,17,13,0,6837,"August 31, 2021"
27,Retailing,77471,105,0,0,77576,10427,14,0,0,10441,270,0,0,0,270,36,0,0,0,36,1323,0,0,0,1323,181,0,0,0,181,85585,105,0,0,85690,11699,14,0,0,11713,"August 31, 2021"
28,Software & Services,672046,0,340,0,672386,90454,0,46,0,90500,1087,0,0,0,1087,146,0,0,0,146,42,0,0,0,42,6,0,0,0,6,702454,0,340,0,702794,96025,0,46,0,96071,"August 31, 2021"
29,Telecom Services,95341,217,0,0,95558,12832,29,0,0,12861,709,0,0,0,709,95,0,0,0,95,403,0,0,0,403,55,0,0,0,55,98173,217,0,0,98390,13420,30,0,0,13450,"August 31, 2021"
30,Telecommunications Equipment,273,0,0,0,273,37,0,0,0,37,5,0,0,0,5,1,0,0,0,1,45,0,0,0,45,6,0,0,0,6,298,0,0,0,298,41,0,0,0,41,"August 31, 2021"
31,"Textiles, Apparels & Accessories",53349,0,0,0,53349,7181,0,0,0,7181,282,0,0,0,282,38,0,0,0,38,-256,0,0,0,-256,-35,0,0,0,-35,54406,0,0,0,54406,7437,0,0,0,7437,"August 31, 2021"
32,Transportation,56868,1399,2928,0,61195,7654,188,394,0,8236,78,0,0,0,78,10,0,0,0,10,437,0,0,0,437,60,0,0,0,60,61009,1399,2928,0,65336,8340,191,400,0,8931,"August 31, 2021"
32 a,Airlines,12430,699,0,0,13129,1673,94,0,0,1767,-29,0,0,0,-29,-4,0,0,0,-4,72,0,0,0,72,10,0,0,0,10,14203,699,0,0,14902,1942,96,0,0,2038,"August 31, 2021"
32 b,Logistics,3106,0,0,0,3106,418,0,0,0,418,9,0,0,0,9,1,0,0,0,1,44,0,0,0,44,6,0,0,0,6,3223,0,0,0,3223,441,0,0,0,441,"August 31, 2021"
32 c,Marine Port & Services,22990,150,0,0,23140,3094,20,0,0,3114,-80,0,0,0,-80,-11,0,0,0,-11,119,0,0,0,119,16,0,0,0,16,24509,150,0,0,24659,3350,21,0,0,3371,"August 31, 2021"
32 d,Roads & Highways,2528,550,2928,0,6006,340,74,394,0,808,-21,0,0,0,-21,-3,0,0,0,-3,36,0,0,0,36,5,0,0,0,5,2545,550,2928,0,6023,348,75,400,0,823,"August 31, 2021"
32 e,Shipping,1146,0,0,0,1146,154,0,0,0,154,-57,0,0,0,-57,-8,0,0,0,-8,-19,0,0,0,-19,-3,0,0,0,-3,1262,0,0,0,1262,173,0,0,0,173,"August 31, 2021"
32 f,Surface Transportation,87,0,0,0,87,12,0,0,0,12,-3,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,81,11,0,0,0,11,"August 31, 2021"
32 g,Transport Related Services,10275,0,0,0,10275,1383,0,0,0,1383,255,0,0,0,255,34,0,0,0,34,129,0,0,0,129,18,0,0,0,18,10654,0,0,0,10654,1456,0,0,0,1456,"August 31, 2021"
32 h,Airport Services,4306,0,0,0,4306,580,0,0,0,580,4,0,0,0,4,1,0,0,0,1,56,0,0,0,56,8,0,0,0,8,4531,0,0,0,4531,619,0,0,0,619,"August 31, 2021"
33,Utilities3,122217,1626,250,0,124093,16450,219,34,0,16703,897,-27,0,0,870,121,-4,0,0,117,674,0,0,0,674,92,0,0,0,92,136793,1621,250,0,138664,18699,222,34,0,18955,"August 31, 2021"
34,Sovereign,0,145395,3697,0,149092,0,19569,498,0,20067,0,257,-398,0,-141,0,35,-54,0,-19,0,2201,353,0,2554,0,301,48,0,349,0,146293,4057,0,150350,0,19998,555,0,20553,"August 31, 2021"
35,Others4,27559,87536,96098,13853,225046,3709,11782,12934,1865,30290,69,-264,-1723,57,-1861,10,-36,-232,8,-250,10,10529,3902,-97,14344,1,1439,533,-13,1960,7973,86096,97006,19809,210884,1090,11769,13261,2708,28828,"August 31, 2021"
,Grand Total,4595821,263489,115333,29222,5003865,618573,35464,15523,3933,673493,2085,-126,-1918,37,78,281,-17,-258,5,11,-2,12270,4150,60,16478,0,1677,567,8,2252,4789916,263752,116636,29161,5199465,654775,36055,15944,3986,710760,"August 31, 2021"
