0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","February 28, 2021"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"February 28, 2021"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"February 28, 2021"
27,Retailing,65126,150,0,0,65276,8972,21,0,0,8993,1950,0,0,0,1950,268,0,0,0,268,-112,0,0,0,-112,-15,0,0,0,-15,62299,150,0,0,62449,8529,21,0,0,8550,"February 28, 2021"
28,Software & Services,545108,0,0,0,545108,75093,0,0,0,75093,-1013,0,0,0,-1013,-140,0,0,0,-140,-1320,0,0,0,-1320,-181,0,0,0,-181,513009,0,0,0,513009,70236,0,0,0,70236,"February 28, 2021"
29,Telecom Services,88673,444,0,0,89117,12216,61,0,0,12277,357,-10,0,0,347,49,-1,0,0,48,1420,-10,0,0,1410,194,-1,0,0,193,87430,434,0,0,87864,11970,59,0,0,12029,"February 28, 2021"
30,Telecommunications Equipment,102,0,0,0,102,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,105,0,0,0,105,14,0,0,0,14,"February 28, 2021"
31,"Textiles, Apparels & Accessories",42128,0,0,0,42128,5804,0,0,0,5804,-496,0,0,0,-496,-68,0,0,0,-68,-229,0,0,0,-229,-31,0,0,0,-31,40491,0,0,0,40491,5544,0,0,0,5544,"February 28, 2021"
32,Transportation,52083,849,750,0,53682,7175,117,103,0,7395,441,50,0,0,491,61,7,0,0,68,425,0,2178,0,2603,58,0,298,0,356,54823,849,2928,0,58600,7506,116,401,0,8023,"February 28, 2021"
32 a,Airlines,11105,699,0,0,11804,1530,96,0,0,1626,-83,0,0,0,-83,-11,0,0,0,-11,7,0,0,0,7,1,0,0,0,1,10928,699,0,0,11627,1496,96,0,0,1592,"February 28, 2021"
32 b,Logistics,2039,0,0,0,2039,281,0,0,0,281,13,0,0,0,13,2,0,0,0,2,14,0,0,0,14,2,0,0,0,2,2109,0,0,0,2109,289,0,0,0,289,"February 28, 2021"
32 c,Marine Port & Services,24516,150,0,0,24666,3377,21,0,0,3398,342,50,0,0,392,47,7,0,0,54,206,0,0,0,206,28,0,0,0,28,26521,150,0,0,26671,3631,21,0,0,3652,"February 28, 2021"
32 d,Roads & Highways,2269,0,750,0,3019,313,0,103,0,416,68,0,0,0,68,9,0,0,0,9,61,0,2178,0,2239,8,0,298,0,306,2496,0,2928,0,5424,342,0,401,0,743,"February 28, 2021"
32 e,Shipping,894,0,0,0,894,123,0,0,0,123,-60,0,0,0,-60,-8,0,0,0,-8,-34,0,0,0,-34,-5,0,0,0,-5,1017,0,0,0,1017,139,0,0,0,139,"February 28, 2021"
32 f,Surface Transportation,31,0,0,0,31,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,4,0,0,0,4,"February 28, 2021"
32 g,Transport Related Services,7759,0,0,0,7759,1069,0,0,0,1069,135,0,0,0,135,19,0,0,0,19,143,0,0,0,143,20,0,0,0,20,8159,0,0,0,8159,1117,0,0,0,1117,"February 28, 2021"
32 h,Airport Services,3470,0,0,0,3470,478,0,0,0,478,26,0,0,0,26,4,0,0,0,4,30,0,0,0,30,4,0,0,0,4,3563,0,0,0,3563,488,0,0,0,488,"February 28, 2021"
33,Utilities3,96610,2179,250,0,99039,13309,300,34,0,13643,450,-1,0,0,449,62,0,0,0,62,486,-39,0,0,447,67,-5,0,0,62,100713,2141,250,0,103104,13789,293,34,0,14116,"February 28, 2021"
34,Sovereign,0,154967,2868,0,157835,0,21348,395,0,21743,0,-1635,-114,0,-1749,0,-225,-16,0,-241,0,-4602,291,0,-4311,0,-630,40,0,-590,0,149748,2966,0,152714,0,20502,406,0,20908,"February 28, 2021"
35,Others4,17625,91183,72643,27277,208728,2428,12561,10007,3758,28754,1861,122,2838,738,5559,257,17,391,102,767,593,-406,-330,-387,-530,82,-56,-45,-53,-72,25405,92951,72301,25949,216606,3478,12726,9899,3553,29656,"February 28, 2021"
,Grand Total,4178629,285536,90284,27277,4581726,575643,39335,12437,3758,631173,18883,-545,2251,738,21327,2601,-75,310,102,2938,6904,-5944,2113,-387,2686,945,-814,289,-53,367,4009610,279012,92136,25949,4406707,548955,38199,12614,3553,603321,"February 28, 2021"
