0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,ReportDate
,,"AUC as on April 15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","Net Investment April 01-15, 2020","Net Investment April 01-15, 2020","Net Investment April 01-15, 2020","Net Investment April 01-15, 2020","Net Investment April 01-15, 2020","Net Investment April 01-15, 2020","Net Investment April 01-15, 2020","Net Investment April 01-15, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","April 30, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"April 30, 2020"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"April 30, 2020"
28,Software & Services,269960,0,0,269960,35393,0,0,35393,-64,0,0,-64,-8,0,0,-8,-1214,0,0,0,-1214,-162,0,0,0,-162,301304,0,0,0,301304,40112,0,0,0,40112,"April 30, 2020"
29,Telecom Services,74853,380,0,75233,9814,50,0,9864,-151,0,0,-151,-20,0,0,-20,-328,0,0,0,-328,-44,0,0,0,-44,75452,380,0,0,75832,10045,51,0,0,10096,"April 30, 2020"
30,Telecommunications Equipment,92,0,0,92,12,0,0,12,-2,0,0,-2,0,0,0,0,-2,0,0,0,-2,0,0,0,0,0,91,0,0,0,91,12,0,0,0,12,"April 30, 2020"
31,"Textiles, Apparels & Accessories",28250,0,0,28250,3704,0,0,3704,-208,0,0,-208,-27,0,0,-27,-865,0,0,0,-865,-115,0,0,0,-115,28683,0,0,0,28683,3818,0,0,0,3818,"April 30, 2020"
32,Transportation,26685,699,0,27384,3499,92,0,3591,-209,0,0,-209,-27,0,0,-27,-212,0,0,0,-212,-28,0,0,0,-28,27125,699,160,0,27984,3611,93,21,0,3725,"April 30, 2020"
32 a,Airlines,5314,699,0,6013,697,92,0,789,-24,0,0,-24,-3,0,0,-3,-141,0,0,0,-141,-19,0,0,0,-19,5091,699,0,0,5790,678,93,0,0,771,"April 30, 2020"
32 b,Logistics,1146,0,0,1146,150,0,0,150,-28,0,0,-28,-4,0,0,-4,-11,0,0,0,-11,-1,0,0,0,-1,1145,0,160,0,1305,152,0,21,0,173,"April 30, 2020"
32 c,Marine Port & Services,9998,0,0,9998,1311,0,0,1311,-188,0,0,-188,-25,0,0,-25,-61,0,0,0,-61,-8,0,0,0,-8,10659,0,0,0,10659,1419,0,0,0,1419,"April 30, 2020"
32 d,Roads & Highways,1037,0,0,1037,136,0,0,136,-13,0,0,-13,-2,0,0,-2,-26,0,0,0,-26,-3,0,0,0,-3,1041,0,0,0,1041,139,0,0,0,139,"April 30, 2020"
32 e,Shipping,773,0,0,773,101,0,0,101,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,912,0,0,0,912,121,0,0,0,121,"April 30, 2020"
32 f,Surface Transportation,25,0,0,25,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,3,0,0,0,3,"April 30, 2020"
32 g,Transport Related Services,6316,0,0,6316,828,0,0,828,34,0,0,34,5,0,0,5,0,0,0,0,0,0,0,0,0,0,6148,0,0,0,6148,818,0,0,0,818,"April 30, 2020"
32 h,Airport Services,2075,0,0,2075,272,0,0,272,9,0,0,9,1,0,0,1,27,0,0,0,27,4,0,0,0,4,2104,0,0,0,2104,280,0,0,0,280,"April 30, 2020"
33,Utilities3,65851,2676,0,68527,8633,351,0,8984,-708,-56,0,-764,-93,-7,0,-100,-216,-104,0,0,-320,-29,-14,0,0,-43,68215,2574,0,0,70789,9081,343,0,0,9424,"April 30, 2020"
34,Sovereign,0,157935,0,157935,0,20706,0,20706,0,-4896,0,-4896,0,-642,0,-642,0,180,-177,0,3,0,24,-24,0,0,0,156743,1461,0,158204,0,20867,195,0,21062,"April 30, 2020"
35,Others4,11207,142830,14177,168214,1469,18726,1859,22054,-61,-1864,501,-1424,-8,-244,66,-186,0,-1576,2949,44,1417,0,-210,393,6,189,11138,114560,53578,14511,193787,1483,15251,7133,1932,25799,"April 30, 2020"
,Grand Total,2204823,351107,14177,2570107,289065,46032,1859,336956,-2127,-9022,501,-10648,-279,-1183,66,-1396,-4757,-3530,2797,44,-5446,-633,-470,372,6,-725,2423008,316404,65916,14511,2819840,322573,42123,8776,1932,375404,"April 30, 2020"
