date,url,file
"April 30, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/April%2030%2C%202023.htm,CDSL_Reports/CDSL_April_30_2023.csv
"April 15, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/April%2015%2C%202023.htm,CDSL_Reports/CDSL_April_15_2023.csv
"March 31, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/March%2031%2C%202023.htm,CDSL_Reports/CDSL_March_31_2023.csv
"March 15, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/March%2015%2C%202023.htm,CDSL_Reports/CDSL_March_15_2023.csv
"February 28, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/February%2028%2C%202023.htm,CDSL_Reports/CDSL_February_28_2023.csv
"February 15, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/February%2015%2C%202023.htm,CDSL_Reports/CDSL_February_15_2023.csv
"January 31, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/January%2031%2C%202023.htm,CDSL_Reports/CDSL_January_31_2023.csv
"January 15, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/January%2015%2C%202023.htm,CDSL_Reports/CDSL_January_15_2023.csv
"December 31, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/December%2031%2C%202022.htm,CDSL_Reports/CDSL_December_31_2022.csv
"December 15, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/December%2015%2C%202022.htm,CDSL_Reports/CDSL_December_15_2022.csv
"November 30, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/November%2030%2C%202022.htm,CDSL_Reports/CDSL_November_30_2022.csv
"November 15, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/November%2015%2C%202022.htm,CDSL_Reports/CDSL_November_15_2022.csv
"October 31, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/October%2031%2C%202022.htm,CDSL_Reports/CDSL_October_31_2022.csv
"October 15, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/October%2015%2C%202022.htm,CDSL_Reports/CDSL_October_15_2022.csv
"September 30, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/September%2030%2C%202022.htm,CDSL_Reports/CDSL_September_30_2022.csv
"September 15, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/September%2015%2C%202022.htm,CDSL_Reports/CDSL_September_15_2022.csv
"August 31, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/August%2031%2C%202022.htm,CDSL_Reports/CDSL_August_31_2022.csv
"August 15, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/August%2015%2C%202022.htm,CDSL_Reports/CDSL_August_15_2022.csv
"July 31, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/July%2031%2C%202022.htm,CDSL_Reports/CDSL_July_31_2022.csv
"July 15, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/July%2015%2C%202022.htm,CDSL_Reports/CDSL_July_15_2022.csv
"June 30, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/June%2030%2C%202022.htm,CDSL_Reports/CDSL_June_30_2022.csv
"June 15, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/June%2015%2C%202022.htm,CDSL_Reports/CDSL_June_15_2022.csv
"May 31, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/May%2031%2C%202022.htm,CDSL_Reports/CDSL_May_31_2022.csv
"May 15, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/May%2015%2C%202022.htm,CDSL_Reports/CDSL_May_15_2022.csv
"April 30, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/April%2030%2C%202022.htm,CDSL_Reports/CDSL_April_30_2022.csv
"April 15, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/April%2015%2C%202022.htm,CDSL_Reports/CDSL_April_15_2022.csv
"March 31, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/March%2031%2C%202022.htm,CDSL_Reports/CDSL_March_31_2022.csv
"March 15, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/March%2015%2C%202022.htm,CDSL_Reports/CDSL_March_15_2022.csv
"February 28, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/February%2028%2C%202022.htm,CDSL_Reports/CDSL_February_28_2022.csv
"February 15, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/February%2015%2C%202022.htm,CDSL_Reports/CDSL_February_15_2022.csv
"January 31, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/January%2031%2C%202022.htm,CDSL_Reports/CDSL_January_31_2022.csv
"January 15, 2022",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/January%2015%2C%202022.htm,CDSL_Reports/CDSL_January_15_2022.csv
"December 31, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/December%2031%2C%202021.htm,CDSL_Reports/CDSL_December_31_2021.csv
"December 15, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/December%2015%2C%202021.htm,CDSL_Reports/CDSL_December_15_2021.csv
"November 30, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/November%2030%2C%202021.htm,CDSL_Reports/CDSL_November_30_2021.csv
"November 15, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/November%2015%2C%202021.htm,CDSL_Reports/CDSL_November_15_2021.csv
"October 31, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/October%2031%2C%202021.htm,CDSL_Reports/CDSL_October_31_2021.csv
"September 30, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/September%2030%2C%202021.htm,CDSL_Reports/CDSL_September_30_2021.csv
"September 15, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/September%2015%2C%202021.htm,CDSL_Reports/CDSL_September_15_2021.csv
"August 31, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/August%2031%2C%202021.htm,CDSL_Reports/CDSL_August_31_2021.csv
"August 15, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/August%2015%2C%202021.htm,CDSL_Reports/CDSL_August_15_2021.csv
"July 31, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/July%2031%2C%202021.htm,CDSL_Reports/CDSL_July_31_2021.csv
"July 15, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/July%2015%2C%202021.htm,CDSL_Reports/CDSL_July_15_2021.csv
"June 15, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/June%2015%2C%202021.htm,CDSL_Reports/CDSL_June_15_2021.csv
"May 31, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/May%2031%2C%202021.htm,CDSL_Reports/CDSL_May_31_2021.csv
"April 30, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/April%2030%2C%202021.htm,CDSL_Reports/CDSL_April_30_2021.csv
"April 15, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/April%2015%2C%202021.htm,CDSL_Reports/CDSL_April_15_2021.csv
"March 31, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/March%2031%2C%202021.htm,CDSL_Reports/CDSL_March_31_2021.csv
"March 15, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/March%2015%2C%202021.htm,CDSL_Reports/CDSL_March_15_2021.csv
"February 28, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/February%2028%2C%202021.htm,CDSL_Reports/CDSL_February_28_2021.csv
"February 15, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/February%2015%2C%202021.htm,CDSL_Reports/CDSL_February_15_2021.csv
"January 31, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/January%2031%2C%202021.htm,CDSL_Reports/CDSL_January_31_2021.csv
"January 15, 2021",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/January%2015%2C%202021.htm,CDSL_Reports/CDSL_January_15_2021.csv
"December 31, 2020",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/December%2031%2C%202020.htm,CDSL_Reports/CDSL_December_31_2020.csv
"December 15, 2020",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/December%2015%2C%202020.htm,CDSL_Reports/CDSL_December_15_2020.csv
"November 30, 2020",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/November%2030%2C%202020.htm,CDSL_Reports/CDSL_November_30_2020.csv
"November 15, 2020",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/November%2015%2C%202020.htm,CDSL_Reports/CDSL_November_15_2020.csv
"October 31, 2020",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/October%2031%2C%202020.htm,CDSL_Reports/CDSL_October_31_2020.csv
"October 15, 2020",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/October%2015%2C%202020.htm,CDSL_Reports/CDSL_October_15_2020.csv
"September 30, 2020",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/September%2030%2C%202020.htm,CDSL_Reports/CDSL_September_30_2020.csv
"September 15, 2020",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/September%2015%2C%202020.htm,CDSL_Reports/CDSL_September_15_2020.csv
"August 31, 2020",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/August%2031%2C%202020.htm,CDSL_Reports/CDSL_August_31_2020.csv
"August 15, 2020",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/August%2015%2C%202020.htm,CDSL_Reports/CDSL_August_15_2020.csv
