0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","March 15, 2013"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,"March 15, 2013"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"March 15, 2013"
Kutch Salt & Allied Industries Ltd.,Kutch Salt & Allied Industries Ltd.,Kutch Salt & Allied Industries Ltd.,Kutch Salt & Allied Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
SVARTCORP,SVARTCORP,SVARTCORP,SVARTCORP,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
Advanced Micronic Devices Ltd.,Advanced Micronic Devices Ltd.,Advanced Micronic Devices Ltd.,Advanced Micronic Devices Ltd.,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
VBC Industries Ltd,VBC Industries Ltd,VBC Industries Ltd,VBC Industries Ltd,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
Cosco (India) ltd.,Cosco (India) ltd.,Cosco (India) ltd.,Cosco (India) ltd.,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
DCM Shriram Consolidated Ltd.,DCM Shriram Consolidated Ltd.,DCM Shriram Consolidated Ltd.,DCM Shriram Consolidated Ltd.,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
Cimmco Ltd,Cimmco Ltd,Cimmco Ltd,Cimmco Ltd,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
Gillanders Arbuthnot & Co. Ltd.,Gillanders Arbuthnot & Co. Ltd.,Gillanders Arbuthnot & Co. Ltd.,Gillanders Arbuthnot & Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
ADITYA BIRLA NUVO LTD.,ADITYA BIRLA NUVO LTD.,ADITYA BIRLA NUVO LTD.,ADITYA BIRLA NUVO LTD.,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
KESORAM IND,KESORAM IND,KESORAM IND,KESORAM IND,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
"Empire Industries Ltd.,","Empire Industries Ltd.,","Empire Industries Ltd.,","Empire Industries Ltd.,",,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
BALMER LAWRI,BALMER LAWRI,BALMER LAWRI,BALMER LAWRI,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
3M INDIA LTD,3M INDIA LTD,3M INDIA LTD,3M INDIA LTD,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
"3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
"3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
"3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
4AUC of Top 10 companies under Others Category in Debt is  as below,4AUC of Top 10 companies under Others Category in Debt is  as below,4AUC of Top 10 companies under Others Category in Debt is  as below,4AUC of Top 10 companies under Others Category in Debt is  as below,4AUC of Top 10 companies under Others Category in Debt is  as below,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
Sr.  No.,Companies,"As on March  15, 2013 in INR Cr.",Companies,"As on  February 28, 2013 in INR Cr.",,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
1,Exim Bank,8698,Exim Bank,8548,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
2,NABARD,8492,NABARD,8001,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
3,National Housing  Bank,4118,National Housin,4518,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
4,EMGFL Ltd,2886,EMGFL Ltd,2814,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
5,SIDBI,1657,WIRELESS BU,1355,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
6,WIRELESS  BUSINESS SERVICES PVT LTD,1335,SISTEMA SHY,1335,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
7,SISTEMA SHYAM  TELESER,1280,J.P.MORGAN,1280,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
8,WIRELESS BROAD  BUS SER DELHI,1120,WIRELESS BR,1120,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
9,J.P.MORGAN CP,1025,SIDBI,1115,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
10,TRIL Infopark  Ltd,980,TRIL Infopark,980,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
,Total,31591,Total,31066,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
