0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","March 31, 2022"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"March 31, 2022"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"March 31, 2022"
23,Oil & Gas,478572,486,487,0,479545,62568,63,64,0,62695,-2297,-135,0,0,-2432,-300,-18,0,0,-318,3127,-26,0,0,3101,412,-3,0,0,409,533125,461,487,0,534073,70327,61,64,0,70452,"March 31, 2022"
24,Pharmaceuticals & Biotechnology,157963,135,0,0,158098,20652,18,0,0,20670,-269,0,0,0,-269,-35,0,0,0,-35,894,0,0,0,894,118,0,0,0,118,161649,135,0,0,161784,21324,18,0,0,21342,"March 31, 2022"
25,Real Estate Investment,0,40,0,20972,21012,0,5,0,2742,2747,0,40,0,-36,4,0,5,0,-5,0,0,-40,0,-23,-63,0,-5,0,-3,-8,0,0,0,21034,21034,0,0,0,2775,2775,"March 31, 2022"
26,Realty,55259,274,108,0,55641,7224,36,14,0,7274,-456,175,0,0,-281,-60,23,0,0,-37,64,-35,-140,0,-111,8,-5,-18,0,-15,60751,99,108,0,60958,8014,13,14,0,8041,"March 31, 2022"
27,Retailing,79877,105,0,0,79982,10443,14,0,0,10457,-256,0,0,0,-256,-33,0,0,0,-33,-1109,0,0,0,-1109,-146,0,0,0,-146,80601,210,0,0,80811,10632,28,0,0,10660,"March 31, 2022"
28,Software & Services,665220,0,340,0,665560,86971,0,44,0,87015,-607,0,0,0,-607,-79,0,0,0,-79,-741,0,0,0,-741,-98,0,0,0,-98,689838,0,340,0,690178,90999,0,45,0,91044,"March 31, 2022"
29,Telecom Services,109836,132,0,0,109968,14360,17,0,0,14377,-262,0,0,0,-262,-34,0,0,0,-34,561,0,0,0,561,74,0,0,0,74,118186,132,0,0,118318,15590,17,0,0,15607,"March 31, 2022"
30,Telecommunications Equipment,739,0,0,0,739,97,0,0,0,97,2,0,0,0,2,0,0,0,0,0,-19,0,0,0,-19,-2,0,0,0,-2,779,0,0,0,779,103,0,0,0,103,"March 31, 2022"
31,"Textiles, Apparels & Accessories",75109,0,0,0,75109,9820,0,0,0,9820,459,0,0,0,459,60,0,0,0,60,-116,0,0,0,-116,-15,0,0,0,-15,75713,0,0,0,75713,9988,0,0,0,9988,"March 31, 2022"
32,Transportation,55841,1290,2178,0,59309,7301,169,285,0,7755,-906,0,0,0,-906,-118,0,0,0,-118,-78,0,0,0,-78,-10,0,0,0,-10,60647,1290,2178,0,64115,8000,170,287,0,8457,"March 31, 2022"
32 a,Airlines,12398,699,0,0,13097,1621,91,0,0,1712,-365,0,0,0,-365,-48,0,0,0,-48,131,0,0,0,131,17,0,0,0,17,13772,699,0,0,14471,1817,92,0,0,1909,"March 31, 2022"
32 b,Logistics,2252,0,0,0,2252,294,0,0,0,294,-38,0,0,0,-38,-5,0,0,0,-5,-12,0,0,0,-12,-2,0,0,0,-2,3161,0,0,0,3161,417,0,0,0,417,"March 31, 2022"
32 c,Marine Port & Services,22984,150,0,0,23134,3005,20,0,0,3025,-457,0,0,0,-457,-60,0,0,0,-60,-314,0,0,0,-314,-41,0,0,0,-41,24158,150,0,0,24308,3187,20,0,0,3207,"March 31, 2022"
32 d,Roads & Highways,1904,441,2178,0,4523,249,58,285,0,592,-32,0,0,0,-32,-4,0,0,0,-4,25,0,0,0,25,3,0,0,0,3,2067,441,2178,0,4686,273,58,287,0,618,"March 31, 2022"
32 e,Shipping,1396,0,0,0,1396,183,0,0,0,183,9,0,0,0,9,1,0,0,0,1,11,0,0,0,11,1,0,0,0,1,1413,0,0,0,1413,186,0,0,0,186,"March 31, 2022"
32 f,Surface Transportation,117,0,0,0,117,15,0,0,0,15,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,124,16,0,0,0,16,"March 31, 2022"
32 g,Transport Related Services,8586,0,0,0,8586,1123,0,0,0,1123,-97,0,0,0,-97,-13,0,0,0,-13,12,0,0,0,12,2,0,0,0,2,9787,0,0,0,9787,1291,0,0,0,1291,"March 31, 2022"
32 h,Airport Services,6204,0,0,0,6204,811,0,0,0,811,71,0,0,0,71,9,0,0,0,9,69,0,0,0,69,9,0,0,0,9,6164,0,0,0,6164,813,0,0,0,813,"March 31, 2022"
33,Utilities3,195707,1469,250,8147,205573,25587,192,33,1065,26877,-70,-5,0,-14,-89,-9,-1,0,-2,-12,365,0,0,-26,339,48,0,0,-3,45,208308,1470,250,8389,218417,27479,194,33,1107,28813,"March 31, 2022"
34,Sovereign,0,144592,7635,0,152227,0,18904,998,0,19902,0,-3901,-1131,0,-5032,0,-510,-148,0,-658,0,-3243,-1230,0,-4473,0,-428,-162,0,-590,0,141191,6653,0,147844,0,18625,878,0,19503,"March 31, 2022"
35,Others4,16725,87914,106258,4176,215073,2187,11494,13892,546,28119,356,-66,496,31,817,47,-9,65,4,107,95,2376,-966,0,1505,12,313,-127,0,198,12693,89167,101439,4175,207474,1674,11762,13381,551,27368,"March 31, 2022"
,Grand Total,4454274,256081,125571,33296,4869222,582350,33480,16417,4353,636600,-41516,-4439,-460,-19,-46434,-5428,-580,-60,-3,-6071,393,-1193,-2784,-49,-3633,52,-157,-367,-6,-478,4690514,253533,119367,33597,5097011,618743,33445,15746,4432,672366,"March 31, 2022"
